id,long,lat,order,hole,piece,group,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,tract_num,con_disdvntg,con_afflnc,density,oblex.eb,insc.eb,mean.inform.soc.control,log.violent.crime.0305,vcres_obin,vcres_obincr
100,-1961093.32602067,1413318.78678844,24,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961140.67731335,1413327.99239701,25,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961169.76174343,1413336.24466421,26,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961239.44287722,1413367.50343437,27,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961304.8715672,1413386.07404297,28,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961395.27659797,1413422.64385682,29,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961457.53851049,1413429.41047534,30,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961556.29805958,1413468.93053486,31,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961708.96500287,1413512.28200416,32,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961788.9313968,1413534.98476113,33,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961883.43248732,1413561.82267386,34,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961977.94259999,1413588.66058659,35,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961916.39343796,1413777.73494488,36,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961854.83826116,1413966.80629578,37,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961839.91861918,1414157.65200443,38,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961785.63830913,1414348.78642213,39,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961743.41761697,1414497.44451987,40,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961712.99490012,1414618.12791296,41,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961681.32712546,1414743.73138956,42,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961634.31566739,1414936.92586668,43,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961613.28200965,1415011.28047833,44,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961568.55616495,1415133.63597804,45,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
100,-1961470.48530725,1415094.54296733,46,FALSE,1,100.1,530,0330,G5300330000100,5300330000100,1911488.89972,5725.20698698,000100,0.5,-0.54,0.75,-0.03,-0.117,2.69,2.34,-0.17208132,0.58290844
1000,-1961766.11736655,1412702.28468645,47,FALSE,1,1000.1,530,0330,G5300330001000,5300330001000,953005.473459,4012.10871042,001000,-0.38,0.24,0.47,-0.013,0.054,3.06,2.15,0.82832341,1.32334114
1000,-1961781.19038522,1412649.18627911,48,FALSE,1,1000.1,530,0330,G5300330001000,5300330001000,953005.473459,4012.10871042,001000,-0.38,0.24,0.47,-0.013,0.054,3.06,2.15,0.82832341,1.32334114
1000,-1961830.67391459,1412502.57921863,49,FALSE,1,1000.1,530,0330,G5300330001000,5300330001000,953005.473459,4012.10871042,001000,-0.38,0.24,0.47,-0.013,0.054,3.06,2.15,0.82832341,1.32334114
